goals,assists,shots_ontarget,shots_offtarget,chances2score,keypasses,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,tballs_acc,tballs_inacc,drib_success,drib_unsuccess,touches,poss_lost,tackles,interceptions,clearances,stop_shots,dribbled_past,aerials_w,aerials_l,grduels_w,grduels_l,fouls,wasfouled,ycards,rcards,dangmistakes,saves_itb,saves_otb,saved_pen,goals_ag_itb,goals_ag_otb,shotsblocked,countattack,offsides,missed_penalties,owngoals,minutesPlayed,game_duration,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Probability
0,0,0,0,0,0,53,5,0,0,2,2,0,0,0,0,67,6,2,1,3,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999947641385
0,0,0,0,0,0,53,5,0,0,2,2,0,0,0,0,67,6,2,1,3,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999947641385
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999978294056
0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.999997178906
0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.999997178906
0,0,0,0,0,0,45,6,0,1,5,2,0,1,0,0,63,10,2,3,1,0,1,2,2,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999997725177653
0,0,0,0,0,0,45,6,0,1,5,2,0,1,0,0,63,10,2,3,1,0,1,2,2,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999997725177653
0,0,0,0,0,0,45,6,0,1,5,2,0,1,0,0,63,10,2,3,1,0,1,2,2,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999997725177653
0,0,0,0,0,0,45,6,0,1,5,2,0,1,0,0,63,10,2,3,1,0,1,2,2,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999997725177653
0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,31,2,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,0,0,3,0.9999999966308479
0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,31,2,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,0,0,3,0.9999999966308479
0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,31,2,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,0,0,3,0.9999999966308479
0,0,0,1,1,0,49,5,0,2,2,1,0,0,0,0,76,14,0,4,4,0,1,2,2,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,0,0,4,1.0
0,0,0,1,1,0,49,5,0,2,2,1,0,0,0,0,76,14,0,4,4,0,1,2,2,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,0,0,4,1.0
0,0,0,1,1,0,49,5,0,2,2,1,0,0,0,0,76,14,0,4,4,0,1,2,2,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,0,0,4,1.0
